cos_sim,cos_wm_sim,alignment,length_ratio,distances,fuzzy_ratio,fuzzy_partial_ratio,fuzzy_token_sort,fuzzy_token_set,Score,cos_sim_qd,cos_wm_sim_qd,alignment_qd,length_ratio_qd,distances_qd,fuzzy_ratio_qd,fuzzy_partial_ratio_qd,fuzzy_token_sort_qd,fuzzy_token_set_qd
0.6119005258516712,0.3875425139085237,0.08695652173913043,2.833,16.138,0.36,0.45,0.35,0.39,3.5,0.5909168633473395,0.37831659615637137,0.09523809523809523,2.5,12.104,0.38,0.47,0.38,0.41
0.6649954586546203,0.4157669475452455,0.3333333333333333,3.0,15.015,0.44,0.69,0.45,0.77,5.0,0.655974956633036,0.41276349489026387,0.36363636363636365,2.667,13.298,0.46,0.69,0.5,0.77
0.8336747691462928,0.49842963555583447,0.7058823529411765,1.833,9.082,0.71,0.98,0.71,0.77,4.0,0.8512156128754629,0.508465970920433,0.8,1.5,6.991,0.81,0.98,0.81,0.81
0.7210097728320043,0.4431517233652999,0.38461538461538464,3.333,19.008,0.43,0.96,0.4,0.77,5.0,0.7490273745010463,0.45825578807017997,0.47619047619047616,2.5,12.539,0.55,0.96,0.5,0.77
0.6478155113197573,0.4055000066425667,0.08,3.167,18.674,0.32,0.49,0.31,0.37,3.0,0.6429054342557525,0.4043108816105779,0.08333333333333333,3.0,16.414,0.35,0.49,0.32,0.37
0.4051088159064968,0.28414665893593644,0.0,0.833,9.154,0.39,0.44,0.44,0.44,2.0,0.30089685070883826,0.23330658983712077,0.0,0.5,8.902,0.34,0.45,0.31,0.31
0.46767827495176717,0.31543138845857166,0.0,1.833,14.369,0.38,0.45,0.37,0.41,2.5,0.4058242990406608,0.28577031400303204,0.0,1.667,11.865,0.38,0.43,0.41,0.42
0.5401220338357043,0.35471771763377546,0.3076923076923077,1.167,10.796,0.36,0.39,0.5,0.56,5.0,0.5456364661654091,0.3588202328838685,0.3333333333333333,1.0,7.983,0.38,0.41,0.56,0.56
0.45582722075179777,0.30950586135858693,0.0,2.333,16.937,0.32,0.45,0.33,0.36,3.5,0.41158736742528457,0.2886518481953439,0.0,2.167,15.498,0.33,0.47,0.34,0.37
0.9209620515174248,0.5409061707226166,1.0,1.0,3.573,0.95,0.94,0.95,0.95,5.0,0.9209620515174248,0.5423127412781873,1.0,1.0,3.573,0.95,0.94,0.95,0.95
0.8154628879568193,0.48932880187076505,0.7692307692307693,1.167,6.118,0.9,0.97,0.77,0.9,5.0,0.8399260940284863,0.5026951620613729,0.8333333333333334,1.0,5.121,0.97,0.97,0.82,0.97
